Current_Branch,Interested_Branch,Math,English,Coding,Loves_Tech,Loves_Design,Talks_Alot,Logic,Likes_Outdoor,Research_Interest,Work_Env,Learning_Style,Knows_Python,Knows_C,Knows_CPP,Knows_Java,Team_Player,Leadership_Score,Adaptability_Score,Interested_in_AI,Interested_in_Blockchain,Interested_in_Cybersecurity,Interested_in_VLSI,Interested_in_Robotics,Career
CSE,Electrical,91,51,48,0,0,0.47,0.53,0,1,0,1,1,1,0,1,1,0.52,0.77,0,0,0,0,0,Product Manager
Electrical,Electrical,91,72,72,1,1,0.43,0.68,1,0,1,0,1,0,0,0,1,0.27,0.78,0,0,0,0,0,Technical Writer
ECE,Electrical,72,70,78,1,1,0.55,0.76,0,0,2,0,1,1,1,1,1,0.85,0.38,0,0,0,0,0,Technical Writer
Mechanical,CSE,64,65,74,1,0,0.76,0.89,1,0,2,0,1,0,0,1,1,0.44,0.38,0,0,0,0,0,Technical Writer
Civil,Electrical,75,68,74,1,1,0.5,0.56,1,1,0,1,1,0,0,1,1,0.24,0.33,0,0,0,0,0,Technical Writer
Mechanical,ECE,77,62,78,1,0,0.47,0.61,0,1,0,0,1,1,0,1,1,0.62,0.68,0,0,0,0,0,Technical Writer
Electrical,Electrical,84,61,42,1,1,0.64,0.83,0,1,0,2,1,1,0,1,1,0.39,0.54,0,0,0,0,0,Digital Marketing Analyst
Civil,Electrical,82,56,74,0,1,0.2,0.61,0,0,0,0,0,1,0,0,1,0.28,0.99,0,0,0,0,0,Digital Marketing Analyst
Electrical,Mechanical,63,53,82,0,0,0.27,0.74,1,1,1,0,0,1,1,1,1,0.35,0.55,0,0,0,0,0,Digital Marketing Analyst
ECE,Civil,95,50,42,0,1,0.34,0.8,1,1,2,1,1,1,0,1,1,0.76,0.98,0,0,0,0,0,Digital Marketing Analyst
Mechanical,Civil,61,58,96,1,0,0.76,0.79,1,1,0,2,0,1,1,0,1,0.34,0.33,0,0,0,0,0,Digital Marketing Analyst
